text,drug
"capitolcarol commented: smferggie,Hi, I've been on Tysabri for four years and am PML positive. I take the test evey six mon…",tysabri
"Thanks for your help, Jim. The title is perfect. I forgot to mention that even with the months-long wait without treatment, my most recent CT scans showed the lung lesions pretty much stable, with slight growth in mediastinal lymphs and growth from 5 cm to 7 cm in my liver. It seems a little odd to me that the tumors wouldn’t all grow at about the same rate, but I guess that cancer knows no rules. I suspect that the relatively slow growth overall is due to residual effects from the nivolumab. I’m just so glad to have whatever it is that is keeping these things from running rampant! Cheers, D",nivolumab
"FEBRUARY 19, 2016 There is finally some progress in the hunt for a treatment for the most difficult form of multiple sclerosis — the form that has stubbornly resisted every attempt to find a therapy. The catch, experts say, is that people with this form of the disease should keep their expectations low, because even the new drug that’s now in the last stages of development doesn’t appear to have a big clinical impact. The reason that the new drug is generating so much interest, though, is that it’s the first time a therapy for primary progressive MS has had any impact at all. And it’s the first MS drug to ever receive a “breakthrough” designation from the Food and Drug Administration, which puts the experimental medicine on a fast track to get through the review process as quickly as possible. The agency granted the designation earlier this week. Read more: Father, daughter fight different forms of MS Primary progressive MS is a relatively rare form of the neurological disease in which a person doesn’t have severe attacks, the way people do with the more common, relapsing-remitting kind. Instead, they suffer a slow, steady physical deterioration with no hope of recovery. The FDA has approved 13 drugs for treating relapsing-remitting MS, but none have been shown to work for people with primary progressive disease. The new “breakthrough” drug, called ocrelizumab, is one of six that are in various stages of development for this recalcitrant form, one that affects 10 to 15 percent of the estimated 400,000 Americans living with MS. On Friday, the company behind ocrelizumab, the Roche subsidiary Genentech, will release new Phase 3 trial data at a conference of the Americas Committee for Treatment and Research in Multiple Sclerosis, which is being held in New Orleans. Genentech has already published a first round of the results, which showed some impact on a wide range of measures for people with primary progressive MS. The new data will include more detail on how ocrelizumab affected subgroups of patients, as well as new information on how it worked in people with relapsing-remitting MS, to show whether it can also work on the more common variety of the disease. Continuation of article found here ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ MS Views and News helps to provide educational information for persons affected by MS Keep current with Multiple Sclerosis news and information by opting-in to our website: click here - thank you   . ===================================",ocrelizumab
Aubagio and Ampyra are not associated with specific dental issues. Great news: OCREVUS was approved last night as the first treatment for PPMS (primary progressive MS). Reduced the risk of disability progressive over 2 years.,ocrevus
"That seems to be it exactly Linda, if the rituxan doesn't seem to be working it might be worth a try to switch to ocrevus. On the improvement front, I've noticed some minor ones too. I am walking better, sometimes without a cane, although I always carry one with me on longer walks because when things fall apart, it's not pretty. I know there is some permanent damage but if the rituxan keeps the MS at bay, I'm hopeful that I might continue to see improvements. Personally I think that's a pretty big deal at my age!",ocrevus
"Corn is supposed to have all kinds of issues for UC, as I recall. I forget the term they use, and I'm sure someone more knowledgeable than me will answer better. Corn on the cob was my favorite veggie, but I gave it up years ago. I miss it. And fritos. ;-( Partial Colectomy for diverticulitis Sept 2014 UC Diagnosis March 2016 - 18 days in hospital with pancolitis Apriso .375 g x 4/day Canasa suppositories as needed Methotrexate 2.5 mg x 4/week Levothyroxine .50 mcg/day Zoloft for depression Supplements: Zinc, L-glutamine, VSL #3, Folic Acid, CoQ10, turmeric, Started Entyvio Wed., 3/29/17 Constant flares since March 2016 only relieved by Prednisone",entyvio
"Brain volume loss in multiple sclerosis (MS) is primarily driven by grey matter changes and may be independent of clinically effective treatment, a new study reports. Brain volume loss is an important surrogate marker for assessing disability in MS. However, researchers felt contribution of grey and white matter to the whole brain volume loss needed further examination in the context of specific MS treatment. A team set out to examine whole and segmented grey, white, thalamic and corpus callosum volume loss in stable patients receiving natalizumab, otherwise known as Tysabri, for two to five years. The study was published in the journal PLOS ONE. Twenty patients underwent treatment with natalizumab for 24-68 months. Over a mean of 36.6 months, median percent brain volume change was 2%. There was a decline in grey, but not white matter, and thalamic but not corpus callosum volume. Grey matter loss correlated with brain volume change, but not white matter. Age significantly influenced whole brain volume loss, but disease duration and baseline T2 lesion volume did not. There was also no change in T1 relaxation values of lesions or T2 lesion volume over time. All patients remained clinically stable. Researchers concluded that these results ‘demonstrate that brain volume loss in MS is primarily driven by grey matter changes and may be independent of clinically effective treatment.’",tysabri
"Janine, Thank you very much for the links…very good articles and videos that I know I will be referring back to.  I don’t think full genomic testing would make sense for me, if I progress any time soon.  Maybe if/when more mutations are discovered to be tested for, but as of right now, I don’t think I would uncover anything worthwhile. Cathy   Dx Stage IV Adeno, Dec 2014 KRAS G12D, PDL1+ 90% of Tumor Sample 1st Line: Carboplatin/Alimta & Alimta Maintenance (Worked Well) 2nd Line: Keytruda (Didnâ€™t work) 3rd Line: 30 IMRT Lung Radiation, 60 gy Currently Watching & Waiting",keytruda
"Hi. Sorry for late reply as I was away for vacation. The implant lasts between 3-6 months. In my case it lasted 4 months. I had next implant a month after the affect of previous shot wore out. But during that one month waiting period also, I could manage reading, writing, driving and my work without difficulty. It was just a little discomfort. Overall I have been hearing from numerous doctors and websites that ozurdex eliminates the remaining fluid more efficiently and permanently in case of RVO. I am keeping my fingers crossed.",ozurdex
"Good morning, everybody! Was on Keytruda and had as side effect diarrhea. My last infusion was on 11th June, but it hasn't improven - the opposite! As Prednisone wasn't enough anymore, even IV, my onc put me on Infliximab. Had the second infusion so far, but until now no effect. Has anyone else been on Infliximab while on Immunotherapy? Did it work? When? Want to share also my experience ...",keytruda
"@reds44 I’m sorry you’d gone through a similar experience. No offence intended but it feels somewhat better knowing someone else understands just how I feel. I myself use a wheelchair not permanently however recently I’ve become unable to function without it. As for you, I really really hope the Ocrelizumab helps and works out for you🤞🤞 Thanks a lot and good luck to you too",ocrelizumab
"Fan, P. D. ; Yu, H. A.  Article Title: ERBBal remedies: Combination therapy for EGFR-mutant lung cancers  Abstract: Multiple members of the ERBB/HER family of the receptor tyrosine kinases have been implicated in mediating acquired resistance to EGFR inhibitors that are used to treat EGFR-mutant lung cancers. New single agents and combination therapies targeting the ERBB/HER family members are being investigated to either prevent or overcome the emergence of acquired resistance. © 2018 American Association for Cancer Research.  Keywords: cancer survival; treatment response; unclassified drug; gene mutation; exon; gene deletion; erlotinib; cancer combination chemotherapy; drug withdrawal; monotherapy; nonhuman; low drug dose; progression free survival; enzyme inhibition; gene amplification; protein degradation; protein targeting; epidermal growth factor receptor; epidermal growth factor receptor 2; genetic association; lung cancer; enzyme activation; in vitro study; tumor xenograft; enzyme activity; protein tyrosine kinase; drug design; cetuximab; phosphatidylinositol 3 kinase; oncogene; gefitinib; gene fusion; tumor promotion; feedback system; egfr gene; tumor growth; trastuzumab; epidermal growth factor receptor 3; endocytosis; protein ret; cell aging; b raf kinase; primary health care; scatter factor receptor; braf gene; non small cell lung cancer; phase 1 clinical trial (topic); drug intermittent therapy; protein axl; pi3k/akt signaling; ret gene; met gene; afatinib; alk gene; enzyme reactivation; human; priority journal; article; necitumumab; osimertinib; pc-9/r cell line  Journal Title: Clinical Cancer Research  Volume: 24  Issue: 22  ISSN: 1078-0432  Publisher: American Association for Cancer Research",necitumumab
"Lessie, The package insert for alectinib states to take it “with food” in general though a “high fat” meal was shown to increase the exposure of alectinib and it’s active metabolite (that the drug breaks down into) by about 3-fold. So eating a fatty meal prior to alectinib could result in about 3 times higher exposure. This can be variable based on the fat content in each meals and usually dosing is based on just “with food” or “empty stomach” since maintaining specific fat contents for each meal for consistency can be difficult. Basically, the bottom line is that fatty meals do increase the exposure of alectinib but could also result in higher side effects as well and I would not specifically recommend taking it with a fatty meal unless told so by your doctor. This would need to be considered if dose reductions are needed. The majority of efficacy studies were based on taking with food, not specifically high fat meals so by taking with food in general, you should still be receiving active amounts of the drug and were taking it appropriately. Reference: Clin Pharmacol Drug Dev. 2017 Jul;6(4):388-397 Best Wishes, Dr. Walko",alectinib
"You should get checked for campylobacter and everything possible in your stool as well. I am going through the exact same thing right now, just spent a week in the hospital and still doing really bad. I have never tested positive for anything before and was shocked, at first they just checked cdiff which was negative, but then tested again for cdiff and other stuff. Campylobacter came back positive, which we never would have known if they didn't test again. High doses of prednisone and solumedrol did nothing to stop it. I have lost 15 pounds, now weigh 95 pounds. Bloody BMs 10+ times a day. Horrible cramping. They did a scope and found minimal inflammation, now I'm on antibiotics and they are not even working! So point of the story is you should get checked out for everything for sure! Amy 32 year old female, dentist Mother of 2 daughters, 2 year old and 10 month old Husband has Crohn's disease and takes humira, both diagnosed AFTER marriage Diagnosed in 2013 during first pregnancy, severe flare during second pregnancy - have not been able to recover since Currently using 4.8 g of Asacol HD daily and 1 4 g mesalamine enema as needed Currently battling camplyobacter infection",humira
"Hi shopping14, Welcome to Grace.  I’m so sorry you’ve progressed already on tarceva.  I think you have several decent options.  A Chemo doublet with or without avastin added remains the standard of care in a scenario you’ve described. Often alimta (with and without avastin) as maintenance (directly after doublet) or at the time of progression after doublet continues to work for months or in some cases years.  It also has an excellent side effect profile, some people even describe no side effects.      Afatinib on the other hand seems to have a bit more difficult side effect profile and without much chance of efficacy after progression on tarceva.  Adding cetuximab has shown to have some efficacy though with the possibility of more side effects with its addition may make this combo less attractive. The following link is to a patient group that participated in a trial with this combo.  http://cancergrace.org/search-results?q=Afatinib%20%2BCetuximab Dr. West wrote this blog post on the subject of combining keytruda and chemo.  It speaks specifically about those with PD-L1 expression over 50% so his thoughts about it not being ready for “prime time” would apply to those without PD-L1 expression.  http://cancergrace.org/lung/2017/01/12/imprecision-medicine-why-keytruda-pembrolizumab-chemo-for-pd-l1-nsclc-isnt-ready-for-prime-time/ Trials remain a good choice if your onc thinks there’s a good possibility to help but there’s no way to know its efficacy profile.   We can’t say what you should do but we want you to have the info you need to make the decision that’s right for you.  Let us know if you have further questions. All best, Janine   		This reply was modified 1 year, 1 month ago by  catdander forum moderator. 	    		This reply was modified 1 year, 1 month ago by  catdander forum moderator.",tarceva
"For over five decades, the Crohn’s & Colitis Foundation has been leading the charge to find cures for Crohn’s disease and ulcerative colitis, and to improve the quality of life for patients. We’ve made incredible strides through our research initiatives, including: Funding research discovering the importance of TNF-alpha and its role in IBD. Antibodies to this immune system chemical led to a number of groundbreaking biologic therapies, including infliximab (Remicade) and adalimumab (Humira). Supporting research discovering NOD2, the first gene identified as relevant for Crohn’s disease, and launching the Genetics Initiative, which has helped identify 215 genes susceptible to developing IBD. Establishing the Microbiome Initiative to study how intestinal microbiota contribute to the onset and progression of IBD. This research is helping lead the way to precision medicine for IBD. Creating IBD Qorus to develop a quality of care standard for IBD treatment across the United States to improve patient quality of life. Developing IBD Plexus, the largest IBD research database uniting clinicians, scientists, educators, industry partners, and patients to accelerate progress in research. Launching the Pediatric RISK Stratification Study, a study of the largest group of pediatric patients in the history of Crohn’s disease from the time of diagnosis. The study has identified biomarkers that can predict disease course and severity in kids with Crohn’s at the time of diagnosis. But have you ever wondered how the Foundation prioritizes what research to work on? It all began in 1990 when the Foundation convened a meeting of leading IBD researchers to update the Foundation’s research agenda and identify new priorities in IBD research. Through this meeting, research priorities and resources necessary to reach these goals were identified. The meeting produced a manuscript known as Challenges in IBD Research , which became the research roadmap for not only the Foundation but for the IBD community at large, defining a path for moving research from the bench to the bedside. Nineteen years later, Challenges in IBD Research is still guiding our research agenda. Every five years, we hold strategic meetings with scientists from academia, industry, leaders from other research foundations and members of the Foundation's National Scientific Advisory Committee (NSAC), and patients and caregivers to produce an updated Challenges in IBD Research . The final version of the document guides the Foundation’s funding and research strategies and provides guidelines for researchers planning to apply for Foundation funding. In addition, it informs research reviewers and patient communities about the Foundation’s priorities in IBD research and in addressing unmet patient needs. So where does Challenges in IBD Research stand now? Last year, we recruited and convened 100 scientists, pediatric and adult gastroenterologists, surgeons, bioengineers, industry partners, and patients and caregivers, and formed five multidisciplinary workgroups to begin to work together on the next iteration of Challenges in IBD Research . The workgroup reviewed the 2013 Challenges document to assess the progress made (spoiler alert – a lot was accomplished!), and identified five main focus areas to address unmet needs over the next five years:  Preclinical human IBD mechanisms Environmental triggers Novel technologies Precision medicine Pragmatic clinical research Our",humira
